AirlineID,SourceAirportID,DestinationAirportID
2C,ADV,AFH
3B,ADV,AHD
4A,ADV,BPU
6D,ADV,KEM
7E,ADV,LZL
9K,ADW,AFS
1Z,ADW,DBI
5L,ADW,GNH
8M,ADW,KDD
2C,ADW,LZM
3B,ADW,PBV
4A,ADW,SBE
6D,ADX,BRV
7E,ADX,DBN
9K,ADX,GSI
1Z,ADX,JES
5L,ADX,JHJ
8M,ADX,LZZ
2C,ADX,MAK
3B,ADX,TFU
4A,ADY,EFK
6D,ADY,GRX
7E,ADY,OYG
9K,ADY,RVV
1Z,ADZ,BQG
5L,ADZ,CKG
8M,ADZ,GOW
2C,ADZ,KEI
3B,ADZ,LYY
4A,ADZ,THM
6D,ADZ,TJI
7E,ADZ,UWO
9K,AEA,HCV
1Z,AEA,PAF
5L,AEB,BPT
8M,AEB,IIT
2C,AEB,JCB
3B,AEB,JEI
4A,AEB,MAS
6D,AEB,NJX
7E,AEB,RSS
9K,AEC,ECV
1Z,AEC,GST
5L,AEC,HCY
8M,AEC,JCX
2C,AEC,NMA
3B,AEC,RVS
4A,AEC,TIT
6D,AED,BQX
7E,AED,JET
9K,AED,NJG
1Z,AED,PBL
5L,AED,PCA
8M,AED,RYA
2C,AED,TGG
3B,AED,TIG
4A,AEE,CJS
6D,AEE,EES
7E,AEE,FFM
9K,AEE,NMD
1Z,AEE,QDH
5L,AEE,RSM
8M,AEF,AHI
2C,AEF,EEZ
3B,AEF,GQP
4A,AEF,RUM
6D,AEG,AGE
7E,AEG,ECM
9K,AEG,IIP
1Z,AEG,TIN
5L,AEG,TJF
8M,AEH,DCL
2C,AEH,GMX
3B,AEH,JFB
4A,AEH,NLX
6D,AEH,TIN
7E,AEI,CIR
9K,AEI,QCE
2C,AEI,QCN
3B,AEI,RWD
4A,AEJ,AGE
6D,AEJ,CIX
7E,AEJ,DBN
9K,AEJ,ECV
1Z,AEJ,GME
5L,AEJ,HDR
8M,AEJ,RWZ
2C,AEK,AFD
3B,AEK,EBO
4A,AEK,JFD
6D,AEK,NKZ
7E,AEK,RSH
9K,AEL,GPP
1Z,AEL,HCS
5L,AEL,IGI
8M,AEM,HDG
2C,AEM,IGT
3B,AEM,NKB
4A,AEM,NLQ
6D,AEM,OYE
7E,AEM,UVJ
9K,AEN,SBL
1Z,AEO,AFV
5L,AEO,BQB
8M,AEO,NJJ
2C,AEP,BQP
3B,AEP,BQS
4A,AEP,BSI
6D,AEP,DCX
7E,AEQ,AEZ
9K,AEQ,GSZ
1Z,AEQ,IHO
5L,AEQ,JCU
8M,AEQ,PBG
2C,AER,CLN
3B,AES,EES
4A,AES,FGR
6D,AES,HCE
7E,AES,IHE
9K,AES,JCR
1Z,AES,QAX
5L,AES,THN
8M,AET,JEK
2C,AET,UTM
3B,AEU,BQA
4A,AEU,BQW
6D,AEU,GNP
7E,AEU,HDE
9K,AEU,KDK
1Z,AEU,PAU
5L,AEU,UVM
8M,AEV,AFF
2C,AEV,CJM
3B,AEV,KDG
4A,AEV,LYI
6D,AEV,QCP
7E,AEV,SBN
9K,AEW,AGL
1Z,AEW,EFY
5L,AEW,GSS
8M,AEW,RSU
2C,AEW,SAF
3B,AEW,UWO
4A,AEX,CJO
6D,AEX,JGT
7E,AEY,CLB
9K,AEY,ECW
1Z,AEY,FFF
5L,AEY,GQZ
8M,AEY,JDI
2C,AEY,JDX
3B,AEY,UTL
4A,AEZ,ECQ
6D,AEZ,LYU
7E,AEZ,NJJ
9K,AEZ,RTH
2C,AEZ,RTP
3B,AFA,BOS
4A,AFA,CJR
6D,AFA,CJY
